"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum","X"
2015,1,1,1,4,2015-01-01,"AA",19805,"AA","N787AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-01 08:55:00,-5,0,0,-1,"0900-0959",17,912,1230,7,1230,1237,7,7,0,0,"1200-1259",0,"",0,390,402,378,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,2,5,2015-01-02,"AA",19805,"AA","N795AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-02 08:50:00,-10,0,0,-1,"0900-0959",15,905,1202,9,1230,1211,-19,0,0,-2,"1200-1259",0,"",0,390,381,357,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,3,6,2015-01-03,"AA",19805,"AA","N788AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-03 08:53:00,-7,0,0,-1,"0900-0959",15,908,1138,13,1230,1151,-39,0,0,-2,"1200-1259",0,"",0,390,358,330,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,4,7,2015-01-04,"AA",19805,"AA","N791AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-04 08:53:00,-7,0,0,-1,"0900-0959",14,907,1159,19,1230,1218,-12,0,0,-1,"1200-1259",0,"",0,390,385,352,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,5,1,2015-01-05,"AA",19805,"AA","N783AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-05 08:53:00,-7,0,0,-1,"0900-0959",27,920,1158,24,1230,1222,-8,0,0,-1,"1200-1259",0,"",0,390,389,338,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,6,2,2015-01-06,"AA",19805,"AA","N799AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-06 08:56:00,-4,0,0,-1,"0900-0959",85,1021,1256,4,1235,1300,25,25,1,1,"1200-1259",0,"",0,395,424,335,1,2475,10,0,0,25,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,7,3,2015-01-07,"AA",19805,"AA","N784AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-07 08:59:00,-1,0,0,-1,"0900-0959",29,928,1209,12,1235,1221,-14,0,0,-1,"1200-1259",0,"",0,395,382,341,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,8,4,2015-01-08,"AA",19805,"AA","N787AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-08 08:56:00,-4,0,0,-1,"0900-0959",26,922,1155,3,1235,1158,-37,0,0,-2,"1200-1259",0,"",0,395,362,333,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,9,5,2015-01-09,"AA",19805,"AA","N795AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-09 09:01:00,1,1,0,0,"0900-0959",43,944,1237,4,1235,1241,6,6,0,0,"1200-1259",0,"",0,395,400,353,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,1,10,6,2015-01-10,"AA",19805,"AA","N790AA",1,"12478",1247802,31703,"JFK","New York, NY","NY",36,"New York",22,"12892",1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,900,2015-01-10 09:03:00,3,3,0,0,"0900-0959",37,940,1225,10,1235,1235,0,0,0,0,"1200-1259",0,"",0,395,392,345,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
